log_dir= logs/pretrain_duke2market-ECN
Namespace(arch='resnet50', batch_size=128, data_dir='/data/ustc/wbq/data', dist_metric='euclidean', dropout=0.5, epochs=200, epochs_decay=10, evaluate=False, features=4096, height=256, init_1='/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar', inv_alpha=0.4, inv_beta=0.07, knn=18, lmd=0.3, logs_dir='logs/pretrain_duke2market-ECN', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
=> Loaded checkpoint '/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar'
Epoch: [0][1/129], Time 6.445 (6.445), Data 0.923 (0.923), Loss 9.853 (9.853), Prec 100.00% (100.00%), s_pid_loss: 0.0519, t_un_loss: 9.5631, loss_tri_soft: 0.5789, loss_tri: 0.0506
Epoch: [0][2/129], Time 0.884 (3.665), Data 0.010 (0.467), Loss 9.875 (9.864), Prec 98.44% (99.22%), s_pid_loss: 0.0520, t_un_loss: 9.5866, loss_tri_soft: 0.5763, loss_tri: 0.0473
Epoch: [0][3/129], Time 0.916 (2.748), Data 0.009 (0.314), Loss 9.814 (9.847), Prec 99.22% (99.22%), s_pid_loss: 0.0467, t_un_loss: 9.5263, loss_tri_soft: 0.5762, loss_tri: 0.0506
Epoch: [0][4/129], Time 0.883 (2.282), Data 0.009 (0.238), Loss 9.903 (9.861), Prec 100.00% (99.41%), s_pid_loss: 0.0324, t_un_loss: 9.6149, loss_tri_soft: 0.5759, loss_tri: 0.0491
Epoch: [0][5/129], Time 0.902 (2.006), Data 0.009 (0.192), Loss 9.797 (9.848), Prec 100.00% (99.53%), s_pid_loss: 0.0435, t_un_loss: 9.5096, loss_tri_soft: 0.5758, loss_tri: 0.0495
Epoch: [0][6/129], Time 0.904 (1.822), Data 0.010 (0.162), Loss 9.827 (9.845), Prec 100.00% (99.61%), s_pid_loss: 0.0368, t_un_loss: 9.5377, loss_tri_soft: 0.5783, loss_tri: 0.0524
Epoch: [0][7/129], Time 0.902 (1.691), Data 0.009 (0.140), Loss 9.810 (9.840), Prec 98.44% (99.44%), s_pid_loss: 0.0709, t_un_loss: 9.5193, loss_tri_soft: 0.5804, loss_tri: 0.0502
Epoch: [0][8/129], Time 0.890 (1.591), Data 0.009 (0.124), Loss 9.788 (9.833), Prec 100.00% (99.51%), s_pid_loss: 0.0540, t_un_loss: 9.5007, loss_tri_soft: 0.5743, loss_tri: 0.0477
Epoch: [0][9/129], Time 0.901 (1.514), Data 0.010 (0.111), Loss 9.525 (9.799), Prec 100.00% (99.57%), s_pid_loss: 0.0578, t_un_loss: 9.2355, loss_tri_soft: 0.5781, loss_tri: 0.0531
Epoch: [0][10/129], Time 0.937 (1.456), Data 0.009 (0.101), Loss 9.725 (9.792), Prec 100.00% (99.61%), s_pid_loss: 0.0571, t_un_loss: 9.4352, loss_tri_soft: 0.5790, loss_tri: 0.0532
Epoch: [0][11/129], Time 0.918 (1.407), Data 0.009 (0.092), Loss 9.706 (9.784), Prec 100.00% (99.64%), s_pid_loss: 0.0495, t_un_loss: 9.4188, loss_tri_soft: 0.5745, loss_tri: 0.0517
Epoch: [0][12/129], Time 0.897 (1.365), Data 0.009 (0.086), Loss 9.637 (9.772), Prec 100.00% (99.67%), s_pid_loss: 0.0227, t_un_loss: 9.3465, loss_tri_soft: 0.5802, loss_tri: 0.0532
Epoch: [0][13/129], Time 0.882 (1.328), Data 0.010 (0.080), Loss 9.610 (9.759), Prec 99.22% (99.64%), s_pid_loss: 0.0726, t_un_loss: 9.3217, loss_tri_soft: 0.5765, loss_tri: 0.0519
Epoch: [0][14/129], Time 0.923 (1.299), Data 0.009 (0.075), Loss 9.772 (9.760), Prec 100.00% (99.67%), s_pid_loss: 0.0532, t_un_loss: 9.4845, loss_tri_soft: 0.5743, loss_tri: 0.0496
Epoch: [0][15/129], Time 0.905 (1.273), Data 0.010 (0.070), Loss 9.619 (9.751), Prec 99.22% (99.64%), s_pid_loss: 0.0863, t_un_loss: 9.3307, loss_tri_soft: 0.5761, loss_tri: 0.0568
Epoch: [0][16/129], Time 0.888 (1.249), Data 0.010 (0.067), Loss 9.570 (9.739), Prec 98.44% (99.56%), s_pid_loss: 0.0968, t_un_loss: 9.2804, loss_tri_soft: 0.5790, loss_tri: 0.0580
Epoch: [0][17/129], Time 0.932 (1.230), Data 0.009 (0.063), Loss 9.538 (9.727), Prec 99.22% (99.54%), s_pid_loss: 0.1022, t_un_loss: 9.2491, loss_tri_soft: 0.5771, loss_tri: 0.0527
Epoch: [0][18/129], Time 0.908 (1.212), Data 0.009 (0.060), Loss 9.428 (9.711), Prec 100.00% (99.57%), s_pid_loss: 0.0843, t_un_loss: 9.1381, loss_tri_soft: 0.5792, loss_tri: 0.0604
Epoch: [0][19/129], Time 0.909 (1.196), Data 0.009 (0.058), Loss 9.521 (9.701), Prec 99.22% (99.55%), s_pid_loss: 0.0836, t_un_loss: 9.2334, loss_tri_soft: 0.5760, loss_tri: 0.0557
Epoch: [0][20/129], Time 0.883 (1.180), Data 0.010 (0.055), Loss 9.445 (9.688), Prec 97.66% (99.45%), s_pid_loss: 0.0896, t_un_loss: 9.1572, loss_tri_soft: 0.5746, loss_tri: 0.0556
Epoch: [0][21/129], Time 0.891 (1.167), Data 0.010 (0.053), Loss 9.509 (9.679), Prec 99.22% (99.44%), s_pid_loss: 0.1024, t_un_loss: 9.2199, loss_tri_soft: 0.5784, loss_tri: 0.0585
Epoch: [0][22/129], Time 0.914 (1.155), Data 0.009 (0.051), Loss 9.547 (9.673), Prec 100.00% (99.47%), s_pid_loss: 0.0554, t_un_loss: 9.2595, loss_tri_soft: 0.5750, loss_tri: 0.0573
Epoch: [0][23/129], Time 0.906 (1.144), Data 0.010 (0.049), Loss 9.442 (9.663), Prec 100.00% (99.49%), s_pid_loss: 0.0697, t_un_loss: 9.1530, loss_tri_soft: 0.5774, loss_tri: 0.0607
